dataset,strategy,seed,task_id,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
MNIST,oracle_task,2,0,600,0.9133333333333333,0.0,0.93,0.155,1.0,0.07,0.93,0.06999999999999995,0.982078853046595,0.016666666666666666,0.9516666666666667,1.0
MNIST,oracle_task,2,1,600,0.9066666666666666,0.0,0.915,0.1525,1.0,0.085,0.915,0.08499999999999996,0.9908925318761385,0.008333333333333333,0.9716666666666667,1.0
MNIST,oracle_task,2,2,600,0.8816666666666667,0.018333333333333313,0.9016666666666666,0.15027777777777776,1.0,0.09833333333333333,0.9016666666666666,0.09833333333333338,0.977818853974122,0.02,0.9433333333333334,1.0
MNIST,oracle_task,2,3,600,0.9133333333333333,0.0,0.92,0.15333333333333332,1.0,0.08,0.92,0.07999999999999996,0.9927536231884058,0.006666666666666667,0.9733333333333334,1.0
MNIST,oracle_task,2,4,600,0.87,0.030000000000000027,0.88,0.14666666666666667,1.0,0.12,0.88,0.12,0.9886363636363636,0.01,0.9416666666666667,1.0
MNIST,oracle_task,3,0,600,0.9316666666666666,0.0,0.9366666666666666,0.15611111111111112,1.0,0.06333333333333334,0.9366666666666666,0.06333333333333335,0.994661921708185,0.005,0.9733333333333334,1.0
MNIST,oracle_task,3,1,600,0.9066666666666666,0.0,0.9116666666666666,0.15194444444444444,1.0,0.08833333333333333,0.9116666666666666,0.08833333333333337,0.9945155393053017,0.005,0.965,1.0
MNIST,oracle_task,3,2,600,0.8966666666666666,0.0033333333333334103,0.905,0.15083333333333335,1.0,0.095,0.905,0.09499999999999997,0.990791896869245,0.008333333333333333,0.9616666666666667,1.0
MNIST,oracle_task,3,3,600,0.925,0.0,0.9283333333333333,0.1547222222222222,1.0,0.07166666666666667,0.9283333333333333,0.07166666666666666,0.9964093357271095,0.0033333333333333335,0.9783333333333334,1.0
MNIST,oracle_task,3,4,600,0.9416666666666667,0.0,0.96,0.16,1.0,0.04,0.96,0.040000000000000036,0.9809027777777778,0.018333333333333333,0.9666666666666667,1.0
MNIST,oracle_task,4,0,600,0.8566666666666667,0.043333333333333335,0.8583333333333333,0.14305555555555557,1.0,0.14166666666666666,0.8583333333333333,0.14166666666666672,0.9980582524271845,0.0016666666666666668,0.9833333333333333,1.0
MNIST,oracle_task,4,1,600,0.8433333333333334,0.05666666666666664,0.8533333333333334,0.14222222222222222,1.0,0.14666666666666667,0.8533333333333334,0.1466666666666666,0.98828125,0.01,0.9616666666666667,1.0
MNIST,oracle_task,4,2,600,0.8633333333333333,0.036666666666666736,0.89,0.14833333333333334,1.0,0.11,0.89,0.10999999999999999,0.9700374531835206,0.02666666666666667,0.94,1.0
MNIST,oracle_task,4,3,600,0.8683333333333333,0.03166666666666673,0.87,0.145,1.0,0.13,0.87,0.13,0.9980842911877394,0.0016666666666666668,0.9683333333333334,1.0
MNIST,oracle_task,4,4,600,0.8833333333333333,0.01666666666666672,0.89,0.14833333333333334,1.0,0.11,0.89,0.10999999999999999,0.9925093632958801,0.006666666666666667,0.9683333333333334,1.0
MNIST,inferred_bucket,0,0,600,0.8283333333333334,0.07166666666666666,0.835,0.13916666666666666,1.0,0.165,0.835,0.16500000000000004,0.9920159680638723,0.006666666666666667,0.965,1.0
