dataset,strategy,seed,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
FashionMNIST,global_seed,2,3000,0.874,0.026000000000000023,0.9063333333333333,0.15105555555555555,1.0,0.09366666666666666,0.9063333333333333,0.09366666666666668,0.9643251195292387,0.03233333333333333,0.936,1.0
FashionMNIST,global_seed,3,3000,0.918,0.0,1.0113333333333334,0.16855555555555554,1.0,0.007666666666666666,0.9733333333333334,0.026666666666666616,0.9236301369863014,0.07433333333333333,0.9106666666666666,1.0
FashionMNIST,global_seed,4,3000,0.891,0.009000000000000008,0.995,0.16583333333333333,1.0,0.015666666666666666,0.9736666666666667,0.02633333333333332,0.9044847654912701,0.093,0.8916666666666667,1.0
FashionMNIST,stale_t0_seed,0,3000,0.8373333333333334,0.06266666666666665,0.9113333333333333,0.1518888888888889,1.0,0.08866666666666667,0.9113333333333333,0.08866666666666667,0.9188002926115582,0.074,0.8863333333333333,1.0
FashionMNIST,stale_t0_seed,1,3000,0.7086666666666667,0.19133333333333336,0.7423333333333333,0.12372222222222223,1.0,0.25766666666666665,0.7423333333333333,0.2576666666666667,0.954647507858105,0.033666666666666664,0.879,1.0
FashionMNIST,stale_t0_seed,2,3000,0.8813333333333333,0.01866666666666672,0.9166666666666666,0.1527777777777778,1.0,0.08333333333333333,0.9166666666666666,0.08333333333333337,0.9614545454545455,0.035333333333333335,0.936,1.0
FashionMNIST,stale_t0_seed,3,3000,0.7953333333333333,0.10466666666666669,0.8223333333333334,0.13705555555555554,1.0,0.17766666666666667,0.8223333333333334,0.17766666666666664,0.9671665991082287,0.027,0.9106666666666666,1.0
FashionMNIST,stale_t0_seed,4,3000,0.556,0.344,0.5696666666666667,0.09494444444444446,1.0,0.43033333333333335,0.5696666666666667,0.43033333333333335,0.976009362200117,0.013666666666666667,0.8916666666666667,1.0
FashionMNIST,oracle_task,0,3000,0.9046666666666666,0.0,1.0646666666666667,0.17744444444444443,1.0,0.012666666666666666,0.914,0.08599999999999997,0.9179431072210066,0.075,0.8863333333333333,1.0
FashionMNIST,oracle_task,1,3000,0.916,0.0,1.102,0.18366666666666667,2.0,0.012333333333333333,0.8773333333333333,0.1226666666666667,0.9251519756838906,0.06566666666666666,0.879,1.0
