dataset,strategy,n_seeds,K,n_tasks,n_selected_rows,n_calibration,n_deployment,target_coverage,coverage_mean_across_seeds,coverage_std_across_seeds,worst_seed_task_coverage,max_seed_task_coverage_deficit,mean_set_size_mean_across_seeds,normalized_mean_set_size,p90_set_size_mean_across_seeds,empty_rate_mean,singleton_action_rate_mean,no_decision_rate_mean,action_accuracy_mean,wrong_action_rate_all_mean,top1_accuracy_mean,valid_calibrator_rate_mean
RotatedMNIST,inferred_bucket,5,6,5,20000,5000,15000,0.9,0.9007333333333334,0.012902196195480319,0.8216666666666667,0.07833333333333337,0.9132,0.15220000000000003,1.0,0.0868,0.9132,0.08680000000000002,0.9863553744419333,0.012466666666666666,0.9679333333333332,1.0
RotatedMNIST,oracle_qhat_selected_by_inferred_context,5,6,5,20000,5000,15000,0.9,0.9007333333333334,0.012902196195480319,0.8216666666666667,0.07833333333333337,0.9132,0.15220000000000003,1.0,0.0868,0.9132,0.08680000000000002,0.9863553744419333,0.012466666666666666,0.9679333333333332,1.0
RotatedMNIST,oracle_task,5,6,5,20000,5000,15000,0.9,0.9007333333333334,0.012902196195480319,0.8216666666666667,0.07833333333333337,0.9132,0.15220000000000003,1.0,0.0868,0.9132,0.08680000000000002,0.9863553744419333,0.012466666666666666,0.9679333333333332,1.0
RotatedMNIST,stale_t0_seed,5,6,5,20000,5000,15000,0.9,0.8804000000000001,0.0661326108831507,0.69,0.21000000000000008,0.8910666666666666,0.14851111111111112,1.0,0.10893333333333333,0.8910666666666666,0.10893333333333333,0.9884041425555473,0.010666666666666666,0.9679333333333332,1.0
SplitCIFAR10,global_seed,5,10,5,20000,5000,15000,0.9,0.9028,0.012687701832001635,0.7983333333333333,0.10166666666666668,0.9794666666666668,0.09794666666666665,1.0,0.027866666666666668,0.9648,0.03520000000000001,0.9283319463750533,0.0692,0.9145333333333333,1.0
SplitCIFAR10,inferred_bucket,5,10,5,20000,5000,15000,0.9,0.9045333333333334,0.009656891609392511,0.8616666666666667,0.03833333333333333,1.0010666666666668,0.10010666666666665,1.0,0.03813333333333333,0.9242666666666667,0.07573333333333336,0.940087127328465,0.055466666666666664,0.9145333333333333,1.0
SplitCIFAR10,oracle_qhat_selected_by_inferred_context,5,10,5,20000,5000,15000,0.9,0.9045333333333334,0.009656891609392511,0.8616666666666667,0.03833333333333333,1.0010666666666668,0.10010666666666665,1.0,0.03813333333333333,0.9242666666666667,0.07573333333333336,0.940087127328465,0.055466666666666664,0.9145333333333333,1.0
SplitCIFAR10,oracle_task,5,10,5,20000,5000,15000,0.9,0.9045333333333334,0.009656891609392511,0.8616666666666667,0.03833333333333333,1.0010666666666668,0.10010666666666665,1.0,0.03813333333333333,0.9242666666666667,0.07573333333333336,0.940087127328465,0.055466666666666664,0.9145333333333333,1.0
SplitCIFAR10,stale_t0_seed,5,10,5,20000,5000,15000,0.9,0.8326666666666668,0.0351480993638189,0.5916666666666667,0.30833333333333335,0.875,0.0875,1.0,0.125,0.875,0.12500000000000003,0.9522765960671264,0.04233333333333333,0.9145333333333333,1.0
SplitCIFAR100,global_seed,5,100,10,50000,12500,37500,0.9,0.9039999999999999,0.006669999167083072,0.7973333333333333,0.10266666666666668,7.926559999999999,0.07926560000000002,13.8,0.0,0.06048,0.9395200000000001,0.9778443818473118,0.0014133333333333333,0.5373066666666666,1.0
SplitCIFAR100,inferred_bucket,5,100,10,50000,12500,37500,0.9,0.9065066666666667,0.006908545433012668,0.836,0.06400000000000006,8.475466666666666,0.08475466666666667,17.8,2.6666666666666667e-05,0.08666666666666667,0.9133333333333333,0.9613252504855059,0.0034133333333333333,0.5373066666666666,1.0
SplitCIFAR100,oracle_qhat_selected_by_inferred_context,5,100,10,50000,12500,37500,0.9,0.8926933333333334,0.014702803965381725,0.6733333333333333,0.22666666666666668,7.7036533333333335,0.07703653333333334,16.0,0.00024000000000000003,0.09954666666666667,0.9004533333333334,0.9485312489375024,0.005093333333333333,0.5373066666666666,1.0
SplitCIFAR100,oracle_task,5,100,10,50000,12500,37500,0.9,0.90624,0.00617046729726902,0.8533333333333334,0.046666666666666634,8.529786666666668,0.08529786666666667,17.8,0.00016000000000000004,0.09442666666666667,0.9055733333333332,0.9609358461851792,0.0037600000000000003,0.5373066666666666,1.0
SplitCIFAR100,stale_t0_seed,5,100,10,50000,12500,37500,0.9,0.9222933333333334,0.03112118249681394,0.8053333333333333,0.09466666666666668,10.815786666666666,0.10815786666666669,19.0,0.0,0.04493333333333334,0.9550666666666666,0.9826426660032753,0.0009333333333333334,0.5373066666666666,1.0
CORe50,global_seed,5,50,10,100000,25000,75000,0.9,0.9015333333333334,0.0055065617423418,0.6166666666666667,0.2833333333333333,37.547586666666675,0.7509517333333333,49.8,0.0,6.666666666666667e-05,0.9999333333333332,0.0,6.666666666666667e-05,0.31677333333333335,1.0
CORe50,inferred_bucket,5,50,10,100000,25000,75000,0.9,0.9033999999999999,0.0026055496327817063,0.738,0.16200000000000003,31.682613333333336,0.6336522666666667,49.8,0.0,0.0007866666666666666,0.9992133333333333,0.6246392496392497,0.00022666666666666668,0.31677333333333335,1.0
CORe50,oracle_qhat_selected_by_inferred_context,5,50,10,100000,25000,75000,0.9,0.7254666666666666,0.10060456141635814,0.037333333333333336,0.8626666666666667,20.592599999999997,0.411852,47.0,0.0,0.0022533333333333333,0.9977466666666667,0.5450171325731881,0.0012666666666666666,0.31677333333333335,1.0
CORe50,oracle_task,5,50,10,100000,25000,75000,0.9,0.9010933333333334,0.005097188767677078,0.8733333333333333,0.026666666666666727,28.673199999999998,0.5734640000000001,50.0,0.0,0.00148,0.9985199999999999,0.6365847877612583,0.00064,0.31677333333333335,1.0
CORe50,stale_t0_seed,5,50,10,100000,25000,75000,0.9,0.97516,0.0036446612401642453,0.8726666666666667,0.02733333333333332,47.110866666666666,0.9422173333333334,50.0,0.0,0.0,1.0,,0.0,0.31677333333333335,1.0
